customer_id,age,gender,income_annual,employment_years,employment_status,credit_score,num_credit_accounts,num_hard_inquiries,late_payments_2yr,debt_existing,loan_amount,loan_purpose,loan_term_months,interest_rate,loan_grade,home_ownership,state,application_date,defaulted,debt_to_income,monthly_payment,payment_to_income,total_debt_ratio,interest_cost_total,risk_per_year,credit_tier,income_tier,loan_size
FIN-000050,62,Female,46585.0,25,Employed,477.0,2,1,4,27771,51794,Vacation,24,17.69,C,Rent,IL,2020-01-17,1,1.1118,2158.08,0.5559,1.708,18324.72,2.0,Very Poor,Lower-Mid,Very Large
FIN-000051,26,Male,78271.0,2,Unemployed,558.0,9,6,5,32198,73618,Home Improvement,48,11.7,B,Rent,CA,2020-01-17,0,0.9406,1533.71,0.2351,1.3519,34453.22,2.5,Fair,Mid,Very Large
FIN-000052,54,Female,174970.0,24,Employed,699.0,11,0,6,20493,77610,Car,36,5.48,E,Mortgage,FL,2020-01-18,0,0.4436,2155.83,0.1479,0.5607,12759.08,3.0,Good,Upper-Mid,Very Large
FIN-000053,25,Female,43449.0,16,Employed,569.0,7,5,4,5535,34330,Medical,72,11.43,B,Mortgage,FL,2020-01-18,0,0.7901,476.81,0.1317,0.9175,23543.51,2.0,Fair,Lower-Mid,Very Large
FIN-000054,30,Male,157809.0,21,Employed,785.0,3,5,1,32519,22623,Home Improvement,60,25.76,B,Rent,IL,2020-01-18,0,0.1434,377.05,0.0287,0.3494,29138.42,0.5,Excellent,Upper-Mid,Large
FIN-000055,48,Female,55308.0,28,Employed,358.0,4,1,1,12020,65277,Vacation,24,8.59,A,Own,TX,2020-01-19,1,1.1802,2719.88,0.5901,1.3976,11214.59,0.5,Very Poor,Lower-Mid,Very Large
FIN-000056,23,Female,143374.0,25,Employed,565.0,3,0,1,29745,5459,Car,36,22.45,C,Rent,TX,2020-01-19,0,0.0381,151.64,0.0127,0.2455,3676.64,0.5,Fair,Upper-Mid,Medium
FIN-000057,33,Female,77175.0,33,Employed,374.0,6,2,7,30906,70037,Vacation,72,21.47,B,Mortgage,TX,2020-01-19,1,0.9075,972.74,0.1513,1.308,90221.66,3.5,Very Poor,Mid,Very Large
FIN-000058,68,Male,49059.0,25,Employed,389.0,9,7,5,35896,57915,Home Improvement,60,7.0,A,Rent,GA,2020-01-20,1,1.1805,965.25,0.2361,1.9122,20270.25,2.5,Very Poor,Lower-Mid,Very Large
FIN-000059,67,Male,176520.0,8,Employed,804.0,10,5,5,21250,61172,Debt Consolidation,24,12.24,B,Other,TX,2020-01-20,0,0.3465,2548.83,0.1733,0.4669,14974.91,2.5,Excellent,Upper-Mid,Very Large
FIN-000060,22,Female,170780.0,10,Unemployed,656.0,9,0,6,37853,73337,Vacation,72,8.95,B,Own,PA,2020-01-20,0,0.4294,1018.57,0.0716,0.6511,39381.97,3.0,Good,Upper-Mid,Very Large
FIN-000061,55,Male,102549.0,6,Employed,453.0,1,3,6,11297,33831,Debt Consolidation,72,5.04,C,Mortgage,TX,2020-01-21,1,0.3299,469.88,0.055,0.4401,10230.49,3.0,Very Poor,Upper-Mid,Very Large
FIN-000062,67,Male,154058.0,29,Retired,517.0,10,5,2,49689,21847,Business,48,8.57,A,Mortgage,GA,2020-01-21,0,0.1418,455.15,0.0355,0.4643,7489.15,1.0,Very Poor,Upper-Mid,Large
FIN-000064,57,Male,72934.0,29,Unemployed,839.0,1,6,3,16257,27025,Education,72,8.4,B,Mortgage,TX,2020-01-22,0,0.3705,375.35,0.0618,0.5934,13620.6,1.5,Excellent,Mid,Large
FIN-000065,43,Female,157557.0,3,Unemployed,429.0,11,1,6,38766,69784,Debt Consolidation,60,6.64,C,Mortgage,IL,2020-01-22,1,0.4429,1163.07,0.0886,0.689,23168.29,3.0,Very Poor,Upper-Mid,Very Large
FIN-000066,63,Female,140094.0,13,Employed,365.0,4,0,6,46791,11384,Debt Consolidation,48,16.87,C,Mortgage,PA,2020-01-22,1,0.0813,237.17,0.0203,0.4153,7681.92,3.0,Very Poor,Upper-Mid,Medium
FIN-000067,43,Female,138156.0,12,Retired,443.0,7,1,2,44137,53067,Medical,72,12.08,C,Rent,NC,2020-01-23,1,0.3841,737.04,0.064,0.7036,38462.96,1.0,Very Poor,Upper-Mid,Very Large
FIN-000068,55,Female,109064.0,24,Employed,679.0,4,4,1,30086,16198,Home Improvement,12,25.84,C,Own,PA,2020-01-23,0,0.1485,1349.83,0.1485,0.4244,4185.56,0.5,Good,Upper-Mid,Large
FIN-000069,61,Female,31772.0,12,Employed,612.0,9,2,3,24063,39446,Home Improvement,36,8.9,B,Rent,GA,2020-01-23,0,1.2415,1095.72,0.4138,1.9989,10532.08,1.5,Fair,Lower-Mid,Very Large
FIN-000070,59,Male,163603.0,12,Employed,706.0,10,6,6,43282,14382,Debt Consolidation,72,18.67,F,Rent,OH,2020-01-24,0,0.0879,199.75,0.0147,0.3525,16110.72,3.0,Very Good,Upper-Mid,Medium
FIN-000071,52,Female,77564.0,5,Retired,706.0,5,4,1,29984,29120,Home Improvement,48,25.66,C,Mortgage,CA,2020-01-24,0,0.3754,606.67,0.0939,0.762,29888.77,0.5,Very Good,Mid,Large
FIN-000072,22,Male,58635.0,25,Unemployed,576.0,9,7,0,18421,40465,Car,48,5.61,B,Own,TX,2020-01-24,0,0.6901,843.02,0.1725,1.0043,9080.35,0.0,Fair,Lower-Mid,Very Large
FIN-000073,67,Female,176991.0,13,Employed,708.0,1,2,7,41922,31950,Business,60,16.63,B,Own,FL,2020-01-25,0,0.1805,532.5,0.0361,0.4174,26566.42,3.5,Very Good,Upper-Mid,Very Large
FIN-000074,64,Male,173972.0,7,Employed,613.0,4,1,6,1243,73462,Vacation,72,15.09,A,Mortgage,CA,2020-01-25,0,0.4223,1020.31,0.0704,0.4294,66512.49,3.0,Fair,Upper-Mid,Very Large
FIN-000075,68,Male,57394.0,23,Employed,848.0,7,2,5,42829,20735,Debt Consolidation,72,26.33,C,Rent,GA,2020-01-25,0,0.3613,287.99,0.0602,1.1075,32757.15,2.5,Excellent,Lower-Mid,Large
FIN-000076,36,Male,55030.0,21,Employed,548.0,2,5,4,21863,19223,Business,60,20.1,B,Mortgage,FL,2020-01-26,1,0.3493,320.38,0.0699,0.7466,19319.12,2.0,Very Poor,Lower-Mid,Large
FIN-000077,36,Male,87950.0,20,Employed,760.0,9,2,0,32337,20362,Debt Consolidation,36,12.71,F,Rent,OH,2020-01-26,0,0.2315,565.61,0.0772,0.5992,7764.03,0.0,Excellent,Mid,Large
FIN-000078,23,Male,166631.0,25,Employed,698.0,3,2,5,34421,44986,Education,60,21.22,B,Rent,OH,2020-01-26,0,0.27,749.77,0.054,0.4765,47730.15,2.5,Good,Upper-Mid,Very Large
FIN-000079,48,Male,178629.0,9,Employed,750.0,4,5,5,24688,28409,Business,48,18.19,C,Mortgage,GA,2020-01-27,0,0.159,591.85,0.0398,0.2972,20670.39,2.5,Excellent,Upper-Mid,Large
FIN-000080,49,Male,189080.0,12,Retired,770.0,4,2,7,7974,72933,Car,36,12.66,D,Mortgage,NC,2020-01-27,0,0.3857,2025.92,0.1286,0.4279,27699.95,3.5,Excellent,Upper-Mid,Very Large
FIN-000081,40,Male,165125.0,13,Employed,733.0,8,5,1,9491,10814,Debt Consolidation,36,22.95,E,Mortgage,NC,2020-01-27,0,0.0655,300.39,0.0218,0.123,7445.44,0.5,Very Good,Upper-Mid,Medium
FIN-000082,56,Male,192889.0,8,Unemployed,745.0,2,5,2,2304,27888,Debt Consolidation,24,20.2,A,Rent,OH,2020-01-28,0,0.1446,1162.0,0.0723,0.1565,11266.75,1.0,Very Good,Upper-Mid,Large
FIN-000083,53,Male,123426.0,6,Employed,402.0,5,6,4,29000,78058,Home Improvement,48,4.63,F,Own,NC,2020-01-28,1,0.6324,1626.21,0.1581,0.8674,14456.34,2.0,Very Poor,Upper-Mid,Very Large
FIN-000084,42,Female,156065.0,30,Retired,627.0,2,2,2,23304,27169,Debt Consolidation,48,24.83,E,Other,IL,2020-01-28,0,0.1741,566.02,0.0435,0.3234,26984.25,1.0,Fair,Upper-Mid,Large
FIN-000085,28,Female,143652.0,15,Employed,545.0,6,5,2,11498,64126,Business,60,13.83,F,Rent,MI,2020-01-29,1,0.4464,1068.77,0.0893,0.5264,44343.13,1.0,Very Poor,Upper-Mid,Very Large
FIN-000086,67,Female,199453.0,7,Employed,357.0,9,0,6,12338,50127,Business,48,19.67,E,Mortgage,FL,2020-01-29,1,0.2513,1044.31,0.0628,0.3132,39439.92,3.0,Very Poor,Upper-Mid,Very Large
FIN-000087,44,Female,33515.0,14,Self-Employed,404.0,9,2,4,3814,20762,Debt Consolidation,72,13.82,E,Mortgage,NY,2020-01-29,1,0.6195,288.36,0.1032,0.7333,17215.85,2.0,Very Poor,Lower-Mid,Large
FIN-000088,57,Female,127301.0,24,Unemployed,368.0,1,7,4,24796,20577,Debt Consolidation,60,25.21,C,Mortgage,PA,2020-01-30,1,0.1616,342.95,0.0323,0.3564,25937.31,2.0,Very Poor,Upper-Mid,Large
FIN-000089,40,Female,167407.0,14,Employed,601.0,4,2,0,27219,25931,Debt Consolidation,48,19.79,D,Mortgage,MI,2020-01-30,0,0.1549,540.23,0.0387,0.3175,20526.98,0.0,Fair,Upper-Mid,Large
FIN-000090,32,Male,78724.0,24,Employed,452.0,4,4,1,29925,65302,Education,72,18.12,C,Mortgage,NC,2020-01-30,0,0.8295,906.97,0.1383,1.2096,70996.33,0.5,Very Poor,Mid,Very Large
FIN-000091,40,Female,22175.0,6,Self-Employed,836.0,1,4,2,12509,44278,Car,24,27.54,C,Own,FL,2020-01-31,0,1.9968,1844.92,0.9984,2.5609,24388.32,1.0,Excellent,Low,Very Large
FIN-000092,40,Male,22405.0,25,Employed,334.0,10,6,7,37806,63169,Vacation,48,11.1,C,Own,TX,2020-01-31,1,2.8194,1316.02,0.7049,4.5068,28047.04,3.5,Very Poor,Low,Very Large
FIN-000093,24,Female,72515.0,7,Self-Employed,314.0,2,6,1,48793,67775,Business,24,6.03,F,Own,NY,2020-01-31,0,0.9346,2823.96,0.4673,1.6075,8173.66,0.5,Very Poor,Mid,Very Large
FIN-000094,50,Female,27341.0,17,Employed,405.0,6,7,1,13365,54203,Education,48,16.63,A,Mortgage,NY,2020-02-01,1,1.9825,1129.23,0.4956,2.4713,36055.84,0.5,Very Poor,Low,Very Large
FIN-000095,51,Female,175356.0,20,Employed,373.0,10,6,7,30326,11058,Vacation,48,14.46,D,Mortgage,TX,2020-02-01,1,0.0631,230.38,0.0158,0.236,6395.95,3.5,Very Poor,Upper-Mid,Medium
FIN-000096,42,Male,179074.0,15,Employed,584.0,3,4,6,36549,74051,Home Improvement,12,15.18,B,Rent,NC,2020-02-01,0,0.4135,6170.92,0.4135,0.6176,11240.94,3.0,Fair,Upper-Mid,Very Large
FIN-000097,35,Female,111796.0,2,Employed,849.0,9,7,3,34726,73866,Medical,72,19.07,B,Mortgage,FL,2020-02-02,0,0.6607,1025.92,0.1101,0.9713,84517.48,1.5,Excellent,Upper-Mid,Very Large
FIN-000098,58,Other,129460.0,0,Unemployed,496.0,3,2,0,39109,60180,Debt Consolidation,48,18.96,A,Own,NY,2020-02-02,1,0.4649,1253.75,0.1162,0.7669,45640.51,0.0,Very Poor,Upper-Mid,Very Large
FIN-000099,57,Male,101499.0,12,Employed,579.0,3,7,2,9224,48825,Business,24,13.72,B,Own,MI,2020-02-02,0,0.481,2034.38,0.2405,0.5719,13397.58,1.0,Fair,Upper-Mid,Very Large
FIN-000100,48,Female,103525.0,31,Employed,452.0,9,7,5,5082,79514,Vacation,36,24.78,F,Own,PA,2020-02-03,1,0.7681,2208.72,0.256,0.8172,59110.71,2.5,Very Poor,Upper-Mid,Very Large
FIN-000101,31,Male,170013.0,11,Employed,590.0,3,4,4,20706,20264,Home Improvement,24,19.81,B,Own,GA,2020-02-03,0,0.1192,844.33,0.0596,0.241,8028.6,2.0,Fair,Upper-Mid,Large
FIN-000102,34,Male,176091.0,30,Employed,441.0,6,0,4,40069,31615,Business,72,25.41,C,Rent,GA,2020-02-03,1,0.1795,439.1,0.0299,0.4071,48200.23,2.0,Very Poor,Upper-Mid,Very Large
FIN-000103,31,Male,166851.0,1,Employed,611.0,6,1,1,47043,37165,Medical,48,25.96,A,Rent,MI,2020-02-04,0,0.2227,774.27,0.0557,0.5047,38592.14,0.5,Fair,Upper-Mid,Very Large
FIN-000105,44,Male,181255.0,24,Unemployed,325.0,7,5,0,30934,39880,Debt Consolidation,12,20.49,D,Own,IL,2020-02-04,1,0.22,3323.33,0.22,0.3907,8171.41,0.0,Very Poor,Upper-Mid,Very Large
FIN-000106,30,Male,55927.0,4,Retired,554.0,9,4,0,27759,6701,Business,60,11.96,B,Rent,OH,2020-02-05,0,0.1198,111.68,0.024,0.6162,4007.2,0.0,Fair,Lower-Mid,Medium
FIN-000107,58,Male,26395.0,1,Unemployed,355.0,9,0,2,29526,64430,Debt Consolidation,12,24.16,B,Rent,NY,2020-02-05,1,2.441,5369.17,2.441,3.5596,15566.29,1.0,Very Poor,Low,Very Large
FIN-000108,63,Male,157046.0,2,Employed,592.0,9,5,2,19612,60615,Medical,12,21.72,B,Rent,MI,2020-02-05,0,0.386,5051.25,0.386,0.5109,13165.58,1.0,Fair,Upper-Mid,Very Large
FIN-000109,61,Male,25150.0,21,Self-Employed,529.0,2,5,1,17859,44237,Education,60,9.17,B,Mortgage,TX,2020-02-06,1,1.7589,737.28,0.3518,2.469,20282.66,0.5,Very Poor,Low,Very Large
FIN-000110,57,Male,97668.0,32,Retired,352.0,1,5,1,35175,39378,Vacation,72,26.56,B,Mortgage,GA,2020-02-06,0,0.4032,546.92,0.0672,0.7633,62752.78,0.5,Very Poor,Mid,Very Large
FIN-000111,62,Male,69572.0,31,Employed,400.0,6,7,1,23927,25736,Medical,48,20.56,F,Rent,NC,2020-02-06,1,0.3699,536.17,0.0925,0.7138,21165.29,0.5,Very Poor,Mid,Large
FIN-000112,52,Male,193883.0,16,Self-Employed,766.0,6,5,3,46013,11343,Medical,24,26.79,D,Rent,PA,2020-02-07,0,0.0585,472.62,0.0293,0.2958,6077.58,1.5,Excellent,Upper-Mid,Medium
FIN-000113,40,Male,104028.0,17,Self-Employed,566.0,4,3,0,43927,20797,Business,60,9.24,B,Rent,FL,2020-02-07,0,0.1999,346.62,0.04,0.6222,9608.21,0.0,Fair,Upper-Mid,Large
FIN-000114,34,Female,74497.0,2,Self-Employed,301.0,8,3,1,38183,58857,Vacation,36,24.94,F,Own,PA,2020-02-07,0,0.7901,1634.92,0.2634,1.3026,44036.81,0.5,Very Poor,Mid,Very Large
FIN-000115,58,Other,122300.0,5,Self-Employed,321.0,5,5,6,35013,46864,Car,12,20.2,A,Own,OH,2020-02-08,1,0.3832,3905.33,0.3832,0.6695,9466.53,3.0,Very Poor,Upper-Mid,Very Large
FIN-000116,24,Male,42466.0,12,Self-Employed,511.0,7,5,0,22073,46123,Debt Consolidation,24,17.48,B,Other,GA,2020-02-08,0,1.0861,1921.79,0.5431,1.6059,16124.6,0.0,Very Poor,Lower-Mid,Very Large
FIN-000118,52,Female,73062.0,16,Unemployed,828.0,1,0,4,6572,72561,Business,24,19.37,A,Rent,PA,2020-02-09,0,0.9931,3023.38,0.4966,1.0831,28110.13,2.0,Excellent,Mid,Very Large
FIN-000119,30,Female,55394.0,20,Employed,687.0,9,4,4,3950,5105,Debt Consolidation,48,20.24,A,Mortgage,MI,2020-02-09,0,0.0922,106.35,0.023,0.1635,4133.01,2.0,Good,Lower-Mid,Medium
FIN-000120,63,Female,118794.0,15,Self-Employed,313.0,4,1,0,19042,24476,Education,36,10.46,B,Rent,PA,2020-02-09,0,0.206,679.89,0.0687,0.3663,7680.57,0.0,Very Poor,Upper-Mid,Large
FIN-000122,59,Male,75084.0,31,Unemployed,521.0,11,5,4,40253,47112,Education,72,19.78,E,Own,OH,2020-02-10,1,0.6275,654.33,0.1046,1.1636,55912.52,2.0,Very Poor,Mid,Very Large
FIN-000123,52,Female,95809.0,0,Employed,702.0,4,6,4,19667,53610,Car,60,24.34,C,Mortgage,FL,2020-02-10,0,0.5596,893.5,0.1119,0.7648,65243.37,2.0,Very Good,Mid,Very Large
FIN-000124,38,Female,182003.0,7,Employed,812.0,4,4,4,17680,71234,Car,24,12.76,C,Mortgage,PA,2020-02-11,0,0.3914,2968.08,0.1957,0.4885,18178.92,2.0,Excellent,Upper-Mid,Very Large
FIN-000125,45,Male,105291.0,0,Unemployed,586.0,4,0,2,27731,49230,Car,72,12.3,C,Mortgage,TX,2020-02-11,0,0.4676,683.75,0.0779,0.7309,36331.74,1.0,Fair,Upper-Mid,Very Large
FIN-000126,27,Male,99220.0,1,Self-Employed,683.0,6,6,5,34415,46706,Education,72,5.06,B,Rent,GA,2020-02-11,0,0.4707,648.69,0.0785,0.8176,14179.94,2.5,Good,Mid,Very Large
FIN-000127,67,Female,31366.0,23,Employed,546.0,5,0,7,47813,70032,Medical,60,22.56,D,Mortgage,NY,2020-02-12,1,2.2327,1167.2,0.4465,3.7571,78996.1,3.5,Very Poor,Lower-Mid,Very Large
