customer_id,age,gender,income_annual,employment_years,employment_status,credit_score,num_credit_accounts,num_hard_inquiries,late_payments_2yr,debt_existing,loan_amount,loan_purpose,loan_term_months,interest_rate,loan_grade,home_ownership,state,application_date,defaulted
FIN-000016,41,Male,63327.0,30,Retired,351.0,11,5,2,201,11878,Home Improvement,36,25.66,C,Rent,FL,2020-01-06,1
FIN-000017,25,Male,160324.0,2,Employed,603.0,6,7,1,7956,5792,Medical,24,19.03,A,Mortgage,MI,2020-01-06,0
FIN-000018,31,Male,55314.0,28,Employed,587.0,9,2,0,7385,16367,Car,60,13.63,D,Rent,OH,2020-01-06,0
FIN-000019,63,Female,67368.0,6,Unemployed,417.0,3,1,6,6007,43731,Education,48,21.28,C,Rent,CA,2020-01-07,1
FIN-000020,29,Male,81110.0,17,Unemployed,723.0,8,6,5,34562,14547,Vacation,60,19.05,E,Mortgage,OH,2020-01-07,0
FIN-000021,31,Male,148667.0,15,Employed,508.0,9,1,4,1408,33568,Home Improvement,60,18.99,B,Rent,NC,2020-01-07,1
FIN-000022,57,Male,152744.0,31,Employed,426.0,9,4,3,916,67907,Vacation,48,24.47,C,Own,MI,2020-01-08,1
FIN-000023,61,Female,35322.0,24,Employed,592.0,7,6,2,7778,55212,Vacation,72,25.9,B,Own,GA,2020-01-08,0
FIN-000024,21,Female,162263.0,31,Employed,818.0,11,0,5,42644,47331,Education,12,8.74,D,Mortgage,FL,2020-01-08,0
FIN-000025,46,Male,188153.0,18,Self-Employed,521.0,10,1,6,47208,69379,Medical,72,11.88,D,Mortgage,NY,2020-01-09,1
FIN-000026,30,Female,165737.0,2,Self-Employed,,3,2,0,6346,9138,Debt Consolidation,24,19.78,D,Own,OH,2020-01-09,1
FIN-000027,60,Male,81625.0,34,Self-Employed,637.0,3,5,2,48637,52112,Education,72,17.59,B,Mortgage,CA,2020-01-09,0
FIN-000028,39,Male,75504.0,28,Unemployed,574.0,2,5,7,35934,78229,Business,36,19.83,C,Rent,GA,2020-01-10,0
FIN-000029,36,Female,195666.0,10,Unemployed,416.0,1,0,5,40112,16394,Medical,72,14.68,B,Mortgage,CA,2020-01-10,1
FIN-000030,65,Female,77631.0,5,Retired,591.0,2,6,3,16448,44095,Business,72,14.19,D,Mortgage,OH,2020-01-10,0
FIN-000031,57,Male,69239.0,18,Unemployed,,5,7,4,36418,8353,Car,12,7.26,A,Rent,PA,2020-01-11,0
FIN-000032,61,Female,124583.0,26,Employed,746.0,1,1,2,14715,51132,Business,36,19.16,A,Own,MI,2020-01-11,0
FIN-000033,24,Male,22967.0,4,Employed,456.0,10,4,5,39166,70064,Medical,72,8.63,A,Mortgage,GA,2020-01-11,1
FIN-000034,34,Other,57018.0,25,Employed,483.0,4,7,1,34783,60121,Home Improvement,48,20.27,B,Own,PA,2020-01-12,1
FIN-000035,50,Female,175867.0,34,Self-Employed,723.0,11,4,0,25897,20205,Business,24,27.23,A,Mortgage,IL,2020-01-12,0
FIN-000036,27,Other,88774.0,18,Self-Employed,315.0,10,4,4,48708,9628,Debt Consolidation,72,10.53,A,Mortgage,NC,2020-01-12,1
FIN-000037,32,Male,159585.0,16,Employed,397.0,10,4,2,36792,57600,Vacation,12,7.84,B,Own,FL,2020-01-13,1
FIN-000038,44,Male,88274.0,34,Unemployed,599.0,1,5,5,22698,43095,Debt Consolidation,48,5.07,A,Own,OH,2020-01-13,0
FIN-000039,59,Female,90472.0,12,Employed,721.0,10,7,4,41572,63844,Debt Consolidation,12,13.4,D,Own,PA,2020-01-13,0
FIN-000040,63,Female,54604.0,13,Retired,606.0,8,5,1,8843,52049,Business,60,9.54,A,Mortgage,MI,2020-01-14,0
FIN-000041,42,Female,87104.0,29,Employed,573.0,5,5,2,45773,26433,Car,72,16.06,E,Own,PA,2020-01-14,0
FIN-000042,67,Male,128818.0,16,Employed,560.0,10,6,7,31551,17093,Debt Consolidation,24,16.82,E,Mortgage,IL,2020-01-14,0
FIN-000043,50,Female,116396.0,14,Employed,538.0,4,7,4,34155,21684,Education,24,12.71,B,Rent,TX,2020-01-15,1
FIN-000044,59,Female,197887.0,17,Employed,631.0,3,2,2,27442,65321,Vacation,48,22.12,A,Own,FL,2020-01-15,0
FIN-000045,40,Female,24720.0,13,Employed,414.0,9,4,7,26696,56305,Car,48,25.76,A,Mortgage,CA,2020-01-15,1
FIN-000046,46,Male,60725.0,13,Self-Employed,567.0,6,7,2,21563,67025,Medical,48,9.47,C,Rent,NC,2020-01-16,0
FIN-000047,69,Female,63923.0,32,Employed,311.0,1,3,4,22982,19907,Home Improvement,24,24.15,C,Rent,NC,2020-01-16,1
FIN-000048,25,Female,59293.0,10,Unemployed,372.0,8,5,2,22863,59057,Car,72,7.58,B,Mortgage,GA,2020-01-16,0
FIN-000049,60,Male,50029.0,10,Employed,705.0,10,4,1,4763,17921,Vacation,60,9.87,B,Mortgage,FL,2020-01-17,0
FIN-000050,62,Female,46585.0,25,Employed,477.0,2,1,4,27771,51794,Vacation,24,17.69,C,Rent,IL,2020-01-17,1
FIN-000051,26,Male,78271.0,2,Unemployed,558.0,9,6,5,32198,73618,Home Improvement,48,11.7,B,Rent,CA,2020-01-17,0
FIN-000052,54,Female,174970.0,24,Employed,699.0,11,0,6,20493,77610,Car,36,5.48,E,Mortgage,FL,2020-01-18,0
FIN-000053,25,Female,43449.0,16,Employed,569.0,7,5,4,5535,34330,Medical,72,11.43,B,Mortgage,FL,2020-01-18,0
FIN-000054,30,Male,157809.0,21,Employed,785.0,3,5,1,32519,22623,Home Improvement,60,25.76,B,Rent,IL,2020-01-18,0
FIN-000055,48,Female,55308.0,28,Employed,358.0,4,1,1,12020,65277,Vacation,24,8.59,A,Own,TX,2020-01-19,1
FIN-000056,23,Female,143374.0,25,Employed,565.0,3,0,1,29745,5459,Car,36,22.45,C,Rent,TX,2020-01-19,0
FIN-000057,33,Female,77175.0,33,Employed,374.0,6,2,7,30906,70037,Vacation,72,21.47,B,Mortgage,TX,2020-01-19,1
FIN-000058,68,Male,49059.0,25,Employed,389.0,9,7,5,35896,57915,Home Improvement,60,7.0,A,Rent,GA,2020-01-20,1
FIN-000059,67,Male,176520.0,8,Employed,804.0,10,5,5,21250,61172,Debt Consolidation,24,12.24,B,Other,TX,2020-01-20,0
FIN-000060,22,Female,170780.0,10,Unemployed,656.0,9,0,6,37853,73337,Vacation,72,8.95,B,Own,PA,2020-01-20,0
FIN-000061,55,Male,102549.0,6,Employed,453.0,1,3,6,11297,33831,Debt Consolidation,72,5.04,C,Mortgage,TX,2020-01-21,1
FIN-000062,67,Male,154058.0,29,Retired,517.0,10,5,2,49689,21847,Business,48,8.57,A,Mortgage,GA,2020-01-21,0
FIN-000063,48,Male,142767.0,1,Employed,,6,4,2,26783,5997,Debt Consolidation,24,9.24,D,Own,CA,2020-01-21,0
FIN-000064,57,Male,72934.0,29,Unemployed,839.0,1,6,3,16257,27025,Education,72,8.4,B,Mortgage,TX,2020-01-22,0
FIN-000065,43,Female,157557.0,3,Unemployed,429.0,11,1,6,38766,69784,Debt Consolidation,60,6.64,C,Mortgage,IL,2020-01-22,1
FIN-000066,63,Female,140094.0,13,Employed,365.0,4,0,6,46791,11384,Debt Consolidation,48,16.87,C,Mortgage,PA,2020-01-22,1
FIN-000067,43,Female,138156.0,12,Retired,443.0,7,1,2,44137,53067,Medical,72,12.08,C,Rent,NC,2020-01-23,1
FIN-000068,55,Female,109064.0,24,Employed,679.0,4,4,1,30086,16198,Home Improvement,12,25.84,C,Own,PA,2020-01-23,0
FIN-000069,61,Female,31772.0,12,Employed,612.0,9,2,3,24063,39446,Home Improvement,36,8.9,B,Rent,GA,2020-01-23,0
FIN-000070,59,Male,163603.0,12,Employed,706.0,10,6,6,43282,14382,Debt Consolidation,72,18.67,F,Rent,OH,2020-01-24,0
FIN-000071,52,Female,77564.0,5,Retired,706.0,5,4,1,29984,29120,Home Improvement,48,25.66,C,Mortgage,CA,2020-01-24,0
FIN-000072,22,Male,58635.0,25,Unemployed,576.0,9,7,0,18421,40465,Car,48,5.61,B,Own,TX,2020-01-24,0
FIN-000073,67,Female,176991.0,13,Employed,708.0,1,2,7,41922,31950,Business,60,16.63,B,Own,FL,2020-01-25,0
FIN-000074,64,Male,173972.0,7,Employed,613.0,4,1,6,1243,73462,Vacation,72,15.09,A,Mortgage,CA,2020-01-25,0
FIN-000075,68,Male,57394.0,23,Employed,848.0,7,2,5,42829,20735,Debt Consolidation,72,26.33,C,Rent,GA,2020-01-25,0
FIN-000076,36,Male,55030.0,21,Employed,548.0,2,5,4,21863,19223,Business,60,20.1,B,Mortgage,FL,2020-01-26,1
FIN-000077,36,Male,87950.0,20,Employed,760.0,9,2,0,32337,20362,Debt Consolidation,36,12.71,F,Rent,OH,2020-01-26,0
FIN-000078,23,Male,166631.0,25,Employed,698.0,3,2,5,34421,44986,Education,60,21.22,B,Rent,OH,2020-01-26,0
FIN-000079,48,Male,178629.0,9,Employed,750.0,4,5,5,24688,28409,Business,48,18.19,C,Mortgage,GA,2020-01-27,0
FIN-000080,49,Male,189080.0,12,Retired,770.0,4,2,7,7974,72933,Car,36,12.66,D,Mortgage,NC,2020-01-27,0
FIN-000081,40,Male,165125.0,13,Employed,733.0,8,5,1,9491,10814,Debt Consolidation,36,22.95,E,Mortgage,NC,2020-01-27,0
FIN-000082,56,Male,192889.0,8,Unemployed,745.0,2,5,2,2304,27888,Debt Consolidation,24,20.2,A,Rent,OH,2020-01-28,0
FIN-000083,53,Male,123426.0,6,Employed,402.0,5,6,4,29000,78058,Home Improvement,48,4.63,F,Own,NC,2020-01-28,1
FIN-000084,42,Female,156065.0,30,Retired,627.0,2,2,2,23304,27169,Debt Consolidation,48,24.83,E,Other,IL,2020-01-28,0
FIN-000085,28,Female,143652.0,15,Employed,545.0,6,5,2,11498,64126,Business,60,13.83,F,Rent,MI,2020-01-29,1
FIN-000086,67,Female,199453.0,7,Employed,357.0,9,0,6,12338,50127,Business,48,19.67,E,Mortgage,FL,2020-01-29,1
FIN-000087,44,Female,33515.0,14,Self-Employed,404.0,9,2,4,3814,20762,Debt Consolidation,72,13.82,E,Mortgage,NY,2020-01-29,1
FIN-000088,57,Female,127301.0,24,Unemployed,368.0,1,7,4,24796,20577,Debt Consolidation,60,25.21,C,Mortgage,PA,2020-01-30,1
FIN-000089,40,Female,167407.0,14,Employed,601.0,4,2,0,27219,25931,Debt Consolidation,48,19.79,D,Mortgage,MI,2020-01-30,0
FIN-000090,32,Male,78724.0,24,Employed,452.0,4,4,1,29925,65302,Education,72,18.12,C,Mortgage,NC,2020-01-30,0
FIN-000091,40,Female,22175.0,6,Self-Employed,836.0,1,4,2,12509,44278,Car,24,27.54,C,Own,FL,2020-01-31,0
FIN-000092,40,Male,22405.0,25,Employed,334.0,10,6,7,37806,63169,Vacation,48,11.1,C,Own,TX,2020-01-31,1
FIN-000093,24,Female,72515.0,7,Self-Employed,314.0,2,6,1,48793,67775,Business,24,6.03,F,Own,NY,2020-01-31,0
FIN-000094,50,Female,27341.0,17,Employed,405.0,6,7,1,13365,54203,Education,48,16.63,A,Mortgage,NY,2020-02-01,1
FIN-000095,51,Female,175356.0,20,Employed,373.0,10,6,7,30326,11058,Vacation,48,14.46,D,Mortgage,TX,2020-02-01,1
FIN-000096,42,Male,179074.0,15,Employed,584.0,3,4,6,36549,74051,Home Improvement,12,15.18,B,Rent,NC,2020-02-01,0
FIN-000097,35,Female,111796.0,2,Employed,849.0,9,7,3,34726,73866,Medical,72,19.07,B,Mortgage,FL,2020-02-02,0
FIN-000098,58,Other,129460.0,0,Unemployed,496.0,3,2,0,39109,60180,Debt Consolidation,48,18.96,A,Own,NY,2020-02-02,1
FIN-000099,57,Male,101499.0,12,Employed,579.0,3,7,2,9224,48825,Business,24,13.72,B,Own,MI,2020-02-02,0
FIN-000100,48,Female,103525.0,31,Employed,452.0,9,7,5,5082,79514,Vacation,36,24.78,F,Own,PA,2020-02-03,1
FIN-000101,31,Male,170013.0,11,Employed,590.0,3,4,4,20706,20264,Home Improvement,24,19.81,B,Own,GA,2020-02-03,0
FIN-000102,34,Male,176091.0,30,Employed,441.0,6,0,4,40069,31615,Business,72,25.41,C,Rent,GA,2020-02-03,1
FIN-000103,31,Male,166851.0,1,Employed,611.0,6,1,1,47043,37165,Medical,48,25.96,A,Rent,MI,2020-02-04,0
FIN-000104,29,Female,38426.0,7,Employed,,1,4,7,15375,47722,Vacation,60,8.43,E,Other,PA,2020-02-04,1
FIN-000105,44,Male,181255.0,24,Unemployed,325.0,7,5,0,30934,39880,Debt Consolidation,12,20.49,D,Own,IL,2020-02-04,1
FIN-000106,30,Male,55927.0,4,Retired,554.0,9,4,0,27759,6701,Business,60,11.96,B,Rent,OH,2020-02-05,0
FIN-000107,58,Male,26395.0,1,Unemployed,355.0,9,0,2,29526,64430,Debt Consolidation,12,24.16,B,Rent,NY,2020-02-05,1
FIN-000108,63,Male,157046.0,2,Employed,592.0,9,5,2,19612,60615,Medical,12,21.72,B,Rent,MI,2020-02-05,0
FIN-000109,61,Male,25150.0,21,Self-Employed,529.0,2,5,1,17859,44237,Education,60,9.17,B,Mortgage,TX,2020-02-06,1
FIN-000110,57,Male,97668.0,32,Retired,352.0,1,5,1,35175,39378,Vacation,72,26.56,B,Mortgage,GA,2020-02-06,0
FIN-000111,62,Male,69572.0,31,Employed,400.0,6,7,1,23927,25736,Medical,48,20.56,F,Rent,NC,2020-02-06,1
FIN-000112,52,Male,193883.0,16,Self-Employed,766.0,6,5,3,46013,11343,Medical,24,26.79,D,Rent,PA,2020-02-07,0
FIN-000113,40,Male,104028.0,17,Self-Employed,566.0,4,3,0,43927,20797,Business,60,9.24,B,Rent,FL,2020-02-07,0
FIN-000114,34,Female,74497.0,2,Self-Employed,301.0,8,3,1,38183,58857,Vacation,36,24.94,F,Own,PA,2020-02-07,0
FIN-000115,58,Other,122300.0,5,Self-Employed,321.0,5,5,6,35013,46864,Car,12,20.2,A,Own,OH,2020-02-08,1
FIN-000116,24,Male,42466.0,12,Self-Employed,511.0,7,5,0,22073,46123,Debt Consolidation,24,17.48,B,Other,GA,2020-02-08,0
FIN-000117,44,Male,29550.0,30,Self-Employed,,9,5,5,20721,79864,Vacation,36,23.78,C,Mortgage,NY,2020-02-08,1
FIN-000118,52,Female,73062.0,16,Unemployed,828.0,1,0,4,6572,72561,Business,24,19.37,A,Rent,PA,2020-02-09,0
FIN-000119,30,Female,55394.0,20,Employed,687.0,9,4,4,3950,5105,Debt Consolidation,48,20.24,A,Mortgage,MI,2020-02-09,0
FIN-000120,63,Female,118794.0,15,Self-Employed,313.0,4,1,0,19042,24476,Education,36,10.46,B,Rent,PA,2020-02-09,0
FIN-000121,36,Male,,16,Employed,818.0,7,6,5,10006,69147,Vacation,72,23.7,D,Own,MI,2020-02-10,0
FIN-000122,59,Male,75084.0,31,Unemployed,521.0,11,5,4,40253,47112,Education,72,19.78,E,Own,OH,2020-02-10,1
FIN-000123,52,Female,95809.0,0,Employed,702.0,4,6,4,19667,53610,Car,60,24.34,C,Mortgage,FL,2020-02-10,0
FIN-000124,38,Female,182003.0,7,Employed,812.0,4,4,4,17680,71234,Car,24,12.76,C,Mortgage,PA,2020-02-11,0
FIN-000125,45,Male,105291.0,0,Unemployed,586.0,4,0,2,27731,49230,Car,72,12.3,C,Mortgage,TX,2020-02-11,0
FIN-000126,27,Male,99220.0,1,Self-Employed,683.0,6,6,5,34415,46706,Education,72,5.06,B,Rent,GA,2020-02-11,0
FIN-000127,67,Female,31366.0,23,Employed,546.0,5,0,7,47813,70032,Medical,60,22.56,D,Mortgage,NY,2020-02-12,1
FIN-000128,38,Male,140525.0,26,Employed,390.0,2,5,2,9356,46920,Business,60,12.26,C,Rent,NC,2020-02-12,1
FIN-000129,67,Female,182935.0,19,Retired,611.0,9,6,0,40860,24875,Debt Consolidation,72,12.19,B,Own,GA,2020-02-12,0
FIN-000130,38,Male,179401.0,20,Employed,736.0,11,2,0,22013,73833,Debt Consolidation,24,20.68,A,Own,PA,2020-02-13,0
FIN-000131,23,Male,123293.0,34,Employed,342.0,6,7,3,3244,57129,Business,24,10.44,F,Rent,MI,2020-02-13,1
FIN-000132,21,Male,83818.0,14,Self-Employed,373.0,10,0,7,23571,70744,Home Improvement,12,25.86,A,Rent,TX,2020-02-13,1
FIN-000133,53,Female,130325.0,29,Self-Employed,615.0,6,2,2,36793,24700,Education,12,17.14,E,Rent,GA,2020-02-14,0
FIN-000134,27,Male,192443.0,3,Self-Employed,443.0,9,6,0,11892,77769,Education,36,27.28,B,Own,PA,2020-02-14,0
FIN-000135,30,Male,80325.0,14,Self-Employed,628.0,1,6,7,41462,6891,Car,36,6.3,C,Rent,CA,2020-02-14,0
FIN-000136,64,Male,191313.0,22,Unemployed,508.0,7,0,2,13877,63520,Vacation,36,12.42,B,Rent,PA,2020-02-15,1
FIN-000137,28,Female,21676.0,14,Retired,,3,2,3,22754,52594,Vacation,12,13.46,E,Rent,IL,2020-02-15,1
FIN-000138,52,Other,126094.0,25,Self-Employed,413.0,4,2,0,20588,69190,Business,60,21.66,C,Rent,PA,2020-02-15,0
FIN-000139,43,Female,156354.0,11,Employed,474.0,1,5,0,41770,7039,Home Improvement,72,9.5,A,Mortgage,CA,2020-02-16,0
FIN-000140,37,Other,46222.0,17,Employed,570.0,3,5,0,23638,24673,Home Improvement,48,13.32,B,Mortgage,FL,2020-02-16,0
FIN-000141,34,Male,33376.0,5,Self-Employed,362.0,7,7,0,785,47412,Education,48,25.9,B,Mortgage,OH,2020-02-16,1
FIN-000142,37,Other,29431.0,17,Employed,703.0,6,6,1,227,33436,Car,72,7.19,E,Rent,IL,2020-02-17,0
FIN-000143,45,Male,53370.0,23,Employed,524.0,1,4,5,4947,13186,Debt Consolidation,24,22.02,D,Rent,PA,2020-02-17,1
FIN-000144,41,Male,153009.0,27,Employed,460.0,9,7,5,7477,68708,Car,12,21.01,D,Rent,TX,2020-02-17,1
FIN-000145,26,Male,175673.0,14,Unemployed,335.0,4,7,2,17211,5434,Debt Consolidation,24,7.57,A,Own,GA,2020-02-18,1
FIN-000146,40,Female,125116.0,18,Employed,680.0,7,7,2,49530,15519,Vacation,48,20.68,C,Rent,MI,2020-02-18,0
FIN-000147,69,Female,21067.0,4,Self-Employed,617.0,4,2,7,13894,23030,Education,24,17.89,F,Rent,FL,2020-02-18,1
FIN-000148,40,Female,98937.0,3,Self-Employed,755.0,7,3,7,28387,60819,Car,12,11.26,D,Own,PA,2020-02-19,0
FIN-000149,46,Other,123556.0,16,Employed,568.0,5,0,2,10217,10258,Home Improvement,12,11.81,A,Mortgage,NY,2020-02-19,0
FIN-000150,52,Female,164544.0,9,Employed,643.0,1,5,3,47488,77726,Business,12,24.08,C,Other,NC,2020-02-19,0
FIN-000151,28,Female,184219.0,11,Employed,339.0,4,1,6,39024,63277,Medical,48,9.93,D,Mortgage,GA,2020-02-20,1
FIN-000152,65,Male,111396.0,4,Employed,713.0,3,6,1,11556,50238,Home Improvement,12,16.55,C,Own,PA,2020-02-20,0
FIN-000153,68,Female,74654.0,6,Self-Employed,679.0,6,0,6,11568,15747,Vacation,36,20.51,A,Own,NC,2020-02-20,0
FIN-000154,64,Other,156268.0,22,Self-Employed,521.0,6,4,2,26914,35917,Business,36,7.55,A,Own,MI,2020-02-21,1
FIN-000155,49,Female,50593.0,1,Employed,580.0,1,4,7,25704,35377,Debt Consolidation,72,26.41,E,Own,NC,2020-02-21,0
FIN-000156,37,Male,130423.0,29,Employed,524.0,11,2,7,22466,49956,Education,12,10.62,B,Rent,TX,2020-02-21,1
FIN-000157,38,Male,85059.0,4,Self-Employed,756.0,2,4,2,8482,28557,Car,36,11.99,B,Own,NC,2020-02-22,0
FIN-000158,60,Male,127041.0,19,Employed,453.0,2,5,0,19932,49335,Vacation,12,20.15,D,Rent,GA,2020-02-22,0
FIN-000159,38,Male,,25,Employed,579.0,10,4,7,7688,38292,Vacation,48,6.34,C,Own,TX,2020-02-22,0
FIN-000160,31,Male,51593.0,5,Employed,652.0,4,0,6,59,24491,Education,36,19.25,F,Rent,NC,2020-02-23,0
FIN-000161,65,Female,161533.0,28,Self-Employed,338.0,9,6,7,38199,62294,Education,48,26.03,A,Mortgage,IL,2020-02-23,1
FIN-000162,32,Female,,9,Unemployed,788.0,11,3,0,28777,71629,Debt Consolidation,36,10.35,D,Rent,NC,2020-02-23,0
FIN-000163,35,Female,55690.0,15,Retired,497.0,2,3,7,19054,70640,Education,60,13.0,A,Own,NY,2020-02-24,1
FIN-000164,46,Male,115360.0,33,Employed,575.0,11,6,6,47192,23123,Car,60,9.96,A,Mortgage,FL,2020-02-24,0
FIN-000165,23,Male,88923.0,30,Employed,471.0,8,6,6,3339,69618,Vacation,72,23.74,A,Own,CA,2020-02-24,1
FIN-000166,23,Male,41826.0,4,Self-Employed,807.0,11,2,0,19173,29288,Home Improvement,72,8.44,C,Mortgage,IL,2020-02-25,0
FIN-000167,58,Male,140240.0,32,Unemployed,704.0,1,6,2,32582,50091,Education,72,12.65,C,Mortgage,OH,2020-02-25,0
FIN-000168,55,Male,165625.0,18,Employed,570.0,8,4,0,36422,64216,Car,48,18.62,B,Rent,OH,2020-02-25,0
FIN-000169,29,Male,73165.0,31,Employed,430.0,3,4,2,45955,63785,Car,36,14.01,A,Own,PA,2020-02-26,1
FIN-000170,63,Female,77454.0,22,Employed,684.0,5,3,6,27068,55997,Debt Consolidation,60,6.04,C,Mortgage,PA,2020-02-26,0
FIN-000171,60,Male,26959.0,2,Self-Employed,696.0,1,6,3,38316,74037,Education,12,26.77,A,Own,GA,2020-02-26,0
FIN-000172,24,Female,62715.0,0,Employed,595.0,1,2,3,21486,55693,Vacation,24,12.44,A,Mortgage,MI,2020-02-27,0
FIN-000173,40,Female,180451.0,27,Retired,682.0,6,4,4,30641,40712,Debt Consolidation,60,14.97,C,Own,NC,2020-02-27,0
FIN-000174,35,Female,173746.0,4,Employed,811.0,3,2,7,19046,20905,Home Improvement,60,8.44,B,Own,FL,2020-02-27,0
FIN-000175,49,Female,160631.0,12,Employed,694.0,8,5,1,16585,6591,Home Improvement,12,24.84,C,Rent,FL,2020-02-28,0
FIN-000176,25,Female,52252.0,10,Employed,559.0,4,0,0,7087,65159,Business,60,11.35,C,Own,GA,2020-02-28,0
FIN-000177,59,Female,46104.0,21,Employed,580.0,6,5,5,46102,18522,Car,60,4.97,A,Rent,IL,2020-02-28,0
FIN-000178,60,Female,151623.0,22,Self-Employed,655.0,10,4,0,41430,8572,Education,60,11.94,E,Own,MI,2020-02-29,0
FIN-000179,27,Male,85669.0,11,Self-Employed,719.0,9,4,1,40711,66680,Business,72,27.63,C,Mortgage,NC,2020-02-29,0
FIN-000180,28,Male,157679.0,20,Employed,491.0,8,4,7,36124,63537,Vacation,72,7.95,A,Other,PA,2020-02-29,1
FIN-000181,52,Female,96639.0,18,Employed,727.0,4,3,7,28330,38061,Car,36,5.23,C,Own,NC,2020-03-01,0
FIN-000182,56,Male,62973.0,4,Self-Employed,647.0,10,3,6,43316,71874,Vacation,72,18.09,C,Mortgage,FL,2020-03-01,0
FIN-000183,53,Female,146142.0,23,Employed,728.0,8,4,1,36741,65542,Education,60,13.23,D,Rent,CA,2020-03-01,0
FIN-000184,57,Female,180930.0,29,Employed,691.0,7,4,6,13020,66907,Debt Consolidation,24,23.18,D,Rent,FL,2020-03-02,0
FIN-000185,52,Male,190439.0,7,Employed,640.0,5,0,4,43543,21151,Home Improvement,72,21.7,E,Mortgage,NC,2020-03-02,0
FIN-000186,63,Female,119364.0,1,Employed,846.0,7,0,1,4471,50813,Business,36,8.86,F,Mortgage,OH,2020-03-02,0
FIN-000187,56,Female,76536.0,33,Employed,701.0,7,2,2,27122,57627,Vacation,36,17.77,C,Mortgage,PA,2020-03-03,0
FIN-000188,54,Female,99584.0,22,Employed,346.0,10,6,0,3123,31117,Business,48,5.26,C,Rent,TX,2020-03-03,0
FIN-000189,69,Female,115959.0,2,Employed,724.0,2,2,1,11333,73034,Home Improvement,60,14.83,A,Rent,FL,2020-03-03,0
FIN-000190,45,Female,169642.0,23,Retired,816.0,7,3,2,38771,30483,Debt Consolidation,24,21.28,E,Rent,CA,2020-03-04,0
FIN-000191,64,Female,187010.0,17,Employed,627.0,3,1,1,3790,76264,Medical,24,14.25,A,Rent,NY,2020-03-04,0
FIN-000192,52,Female,117216.0,30,Employed,386.0,8,0,5,32036,61469,Medical,48,7.27,C,Mortgage,TX,2020-03-04,1
FIN-000193,22,Male,135283.0,13,Self-Employed,814.0,8,2,2,39289,23877,Vacation,24,5.95,A,Mortgage,FL,2020-03-05,0
FIN-000194,29,Male,122410.0,0,Employed,464.0,9,6,3,35878,67396,Medical,36,24.56,B,Other,FL,2020-03-05,1
FIN-000195,58,Male,65820.0,13,Employed,522.0,11,6,7,24923,8088,Education,12,25.45,A,Own,NC,2020-03-05,1
FIN-000196,49,Male,118235.0,4,Employed,596.0,4,0,2,1601,28179,Business,36,12.56,A,Own,OH,2020-03-06,0
FIN-000197,58,Male,184290.0,30,Retired,750.0,10,0,4,11788,52954,Debt Consolidation,72,8.36,A,Own,NY,2020-03-06,0
FIN-000198,38,Female,29990.0,30,Employed,642.0,3,5,6,21307,27011,Education,12,27.5,B,Other,OH,2020-03-06,1
FIN-000199,42,Female,32778.0,29,Retired,640.0,9,7,2,27129,17839,Education,24,17.33,B,Rent,GA,2020-03-07,0
